Car title,Drive distance,Price,Link
2002 Supercharged Xterra for sale 3500Obo,241000 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2002-supercharged-xterra-for-sale-3500obo/1730360731
Mechanic Special,200000 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mechanic-special/1731213765
2008 Mercedes b200 turbo,226000 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-mercedes-b200-turbo/1728903464
Ford F250,336000 km,3650.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-f250/1731618638
2004 VW Passat,349174 km,3750.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-vw-passat/1730303817
2010 GMC Terrain ,351000 km,3750.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-gmc-terrain/1731258145
2005 Pontiac Grand Prix,227000 km,3800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2005-pontiac-grand-prix/1726733203
Yukon 4x4 V8 5.3,300000 km,3800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/yukon-4x4-v8-5-3/1731235359
2014 Jeep Compass,250000 km,3900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-jeep-compass/1728886780
Amazing Nissan Murano MK I for sale!,390 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/amazing-nissan-murano-mk-i-for-sale/1731618449
Chevrolet Silverado,280000 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/chevrolet-silverado/1729787575
2006 Mazda 3 ,230000 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-mazda-3/1730043848
2006 Nissan Murano SUV,280000 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-nissan-murano-suv/1725782163
2011 Chevy Cruze,249000 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2011-chevy-cruze/1730902391
"Ford Fiesta 2013,4000 $",165800 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-fiesta-2013-4000/1731461776
Pontiac Montana SV6 - 2007,270000 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/pontiac-montana-sv6-2007/1730395331
Mitsubishi eclipse,222718 km,4000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mitsubishi-eclipse/1730346506
2006 kia,140000 km,4001.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-kia/1730071294
Mazda 3 2013 gs sky active,290000 km,4100.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mazda-3-2013-gs-sky-active/1730220416
2000 jeep Cherokee 4.0,321000 km,4100.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2000-jeep-cherokee-4-0/1731159433
2010 KIA Soul 4U standard transmission 233405km,233405km,4400.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-kia-soul-4u-standard-transmission-233405km/1728873298
2009 Dodge Nitro,226000 km,4500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-dodge-nitro/1730143783
"2011 Dodge Caliber, low mileage  asking $4500.00",168000 km,4500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2011-dodge-caliber-low-mileage-asking-4500-00/1730961250
2007 Eclipse GTP,192000 km,4500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-eclipse-gtp/1731308291
1995 Jeep Yj  6cylinder 4.0L high output,360000 km,4500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1995-jeep-yj-6cylinder-4-0l-high-output/1731334387
2012 Volkswagen Jetta tdi,230000 km,4500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-volkswagen-jetta-tdi/1730291747
1989 f250 lariat,260000 km,4500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1989-f250-lariat/1731588581
2002 cadillac deville 4750 obo or trades,140000 km,4750.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2002-cadillac-deville-4750-obo-or-trades/1717262869
Chevrolet Truck,270000 km,4800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/chevrolet-truck/1724697311
Ford escape ,304701 km,4800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-escape/1731356047
GMC sierra 2500 HD,377000 km,4800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/gmc-sierra-2500-hd/1729199677
nissan pathfinder,300000 km,4850.0,https://www.kijiji.ca/v-cars-trucks/red-deer/nissan-pathfinder/1729635457
dodge journey sxt 2013y 100.000ml,100000 km,4850.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-journey-sxt-2013y-100-000ml/1731240998
Audi 2012 for sale,257000 km,4999.0,https://www.kijiji.ca/v-cars-trucks/red-deer/audi-2012-for-sale/1728871270
2007 Ford F-150 Lariat Crew Cab,340000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-ford-f-150-lariat-crew-cab/1731389914
Ford f350 2008 5.4,330000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-f350-2008-5-4/1729256880
2008 Jeep Grand Cherokee Diesel,310 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-jeep-grand-cherokee-diesel/1729187841
2007 f150,300000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-f150/1730898025
2007 Land Rover Range Rover V8 Super charged ,240000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-land-rover-range-rover-v8-super-charged/1722767811
2010 F150 Platinum,368000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-f150-platinum/1731124246
2007 Chevrolet 1500 ext cab long box,413000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-chevrolet-1500-ext-cab-long-box/1726124365
99 chevy suburban will trade,276000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/99-chevy-suburban-will-trade/1731417004
2002 Subaru Forester RHD,120000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2002-subaru-forester-rhd/1726584602
2018 KIA Optima LX,192000 km,5500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2018-kia-optima-lx/1731317620
Ram 1500 4x4,205000 km,5500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ram-1500-4x4/1731238992
2012 Jeep Compass,189000 km,5500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-jeep-compass/1729624300
2007 Ram 3500,646476 km,5500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-ram-3500/1731408368
Dodge Journey ,211000 km,5500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-journey/1725422191
Honda Element Manual (not available until the 19th),247000 km,5600.0,https://www.kijiji.ca/v-cars-trucks/red-deer/honda-element-manual-not-available-until-the-19th/1730902492
2013 kia rio ,165800 km,5700.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2013-kia-rio/1731598551
2012 chevy silverado,170000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-chevy-silverado/1730763164
1981 GMC ,123456 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1981-gmc/1730759079
2004 4×4 2500 hd Silverado & 5th wheel,285000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-4-4-2500-hd-silverado-5th-wheel/1723333661
2004 Volkswagen Touareg,318000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-volkswagen-touareg/1730222834
BMW X5 2005 ,254000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/bmw-x5-2005/1731298810
2006 Toyota Solara,175000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-toyota-solara/1727164889
2012 GMC Terrain,304505 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-gmc-terrain/1731617407
2009 Nissan Rogue,230000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-nissan-rogue/1731189041
Veloster turbo ,260000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/veloster-turbo/1730450997
1968 Chrysler 300,193000 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1968-chrysler-300/1728026000
2005 Infinity G35,229340 km,6000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2005-infinity-g35/1729556625
Reliable truck,309028 km,6200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/reliable-truck/1728956022
2008 Volvo XC90,264000 km,6350.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-volvo-xc90/1731591112
2006 GMC Sierra reg cab long box 2wd great shape c/w carfax,276000 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-gmc-sierra-reg-cab-long-box-2wd-great-shape-c-w-carfax/1731355216
2007 Chevy Silverado 1500 LTZ 4x4 Truck,401860 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-chevy-silverado-1500-ltz-4x4-truck/1731368400
2009 Lincoln MKX,258000 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-lincoln-mkx/1730309481
Volkswagen Tiguan Limited,230000 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/volkswagen-tiguan-limited/1730810869
2001 Ford Crown Victoria ,144853 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2001-ford-crown-victoria/1731310991
2012 Mazda CX7,211000 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-mazda-cx7/1731227378
2014 Ford F150 FX4 Truck for Sale,390000 km,6500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-ford-f150-fx4-truck-for-sale/1731194115
2014 Ford Escape Titanium ,243900 km,6750.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-ford-escape-titanium/1731003762
2008 Audi A3,210000 km,7000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-audi-a3/1731284629
2007 GMC SLE 1500 4X4,250000 km,7000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-gmc-sle-1500-4x4/1731587810
2008 dodge ram 2500 mega cab,258000 km,7000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-dodge-ram-2500-mega-cab/1730090435
1999 Toyota 4runner,320000 km,7000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1999-toyota-4runner/1729081546
2014 Jeep Patriot LOW KM!,153679 km,7000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-jeep-patriot-low-km/1731607614
2008 FORD F350 6.4 POWERSTROKE SUPERDUTY PARTOUT,208000 km,7000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-ford-f350-6-4-powerstroke-superduty-partout/1729835972
2007 Nession Pathfinder,260000 km,7200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-nession-pathfinder/1730545993
2009 Subaru Forester - AWD SUV,275000 km,7500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-subaru-forester-awd-suv/1728854877
2008 Toyota RAV4 V6,282000 km,7500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-toyota-rav4-v6/1731300039
1999 Mercedes C230 ,350000 km,7500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1999-mercedes-c230/1730269067
2008 Ford Ranger,197344 km,7500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-ford-ranger/1730457697
2002 Chevy Duramax,422594 km,7500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2002-chevy-duramax/1730161113
1990-Ford F350 Service Truck,400000 km,7500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1990-ford-f350-service-truck/1729280115
2015 Audi S5 Gold,262000 km,7800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2015-audi-s5-gold/1731457681
Honda pilot 2008 ,265500 km,7950.0,https://www.kijiji.ca/v-cars-trucks/red-deer/honda-pilot-2008/1731616118
Honda civic Si FA5,235111 km,7999.0,https://www.kijiji.ca/v-cars-trucks/red-deer/honda-civic-si-fa5/1729797646
For Sale: 2014 Fully Loaded Chevrolet Trax LTZ All-Wheel Drive,198000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/for-sale:-2014-fully-loaded-chevrolet-trax-ltz-all-wheel-drive/1728744524
2016 pathfinder,200000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2016-pathfinder/1730799778
2010 Dodge Journey for Sale!,90000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-dodge-journey-for-sale/1731559515
Range Rover sport,207000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/range-rover-sport/1729791964
2008 Ford,303000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-ford/1729350046
2011 TDI Jetta Highline,260000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2011-tdi-jetta-highline/1730197811
1990 gmc 2500 3+3 4x4,259000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1990-gmc-2500-3-3-4x4/1729304785
Subaru WRX - RARE Automatic,236000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/subaru-wrx-rare-automatic/1730929707
2000 Dodge Ram 2500 HO Cummins 5.9 diesel 4x4,498000 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2000-dodge-ram-2500-ho-cummins-5-9-diesel-4x4/1694912325
2011 Ford E-250 Cargo van for sale,289447 km,8243.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2011-ford-e-250-cargo-van-for-sale/1731168415
2013 Honda Accord EXL,123000 km,8300.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2013-honda-accord-exl/1731249299
2013 Kia Sorento ,276500 km,8300.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2013-kia-sorento/1731140010
Dodge Ram Sport 2014,288000 km,8400.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-ram-sport-2014/1731565916
2016 Hyundai elantra GT,110000 km,8500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2016-hyundai-elantra-gt/1730965720
2014 Hyundai Veloster ecoshift,123000 km,8700.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-hyundai-veloster-ecoshift/1731138183
1988 Nissan Pulsar NX SE Twin Cam  CA18DE  1.8L Engine  5 speed,156000 km,8900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1988-nissan-pulsar-nx-se-twin-cam-ca18de-1-8l-engine-5-speed/1725154830
2009 Jeep Wrangler X,291187 km,9000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-jeep-wrangler-x/1726734312
2016 ford mustang eco boost,143988 km,9000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2016-ford-mustang-eco-boost/1727937368
2001 Dodge 2500,450000 km,9000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2001-dodge-2500/1724605797
2016 Dodge Grand Caravan Crew – One Owner – Well Maintained,244361 km,9000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2016-dodge-grand-caravan-crew-one-owner-well-maintained/1729129083
2006 Ford f350,382000 km,9000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-ford-f350/1730860561
2014 Dodge Journey SXT low km's,43400 km,9100.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-dodge-journey-sxt-low-kms/1730707457
2004 Dodge Ram,475000 km,9200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-dodge-ram/1730243287
"2018 Ford Escape $9,500",220000 km,9500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2018-ford-escape-9-500/1731606977
2013 Subaru impreza,162500 km,9500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2013-subaru-impreza/1729202741
AWD Juke,145000 km,9500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/awd-juke/1729257787
Super low mileage F250,174499 km,9500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/super-low-mileage-f250/1730424158
Ford F-250 XLT Pickup Truck,359000 km,9600.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-f-250-xlt-pickup-truck/1730435809
2007 Ford F350 lariat,403000 km,9800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-ford-f350-lariat/1723533735
2012 Ford F150 XTR,227000 km,9850.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-ford-f150-xtr/1731610959
Dodge Caravan RT,271500 km,9999.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-caravan-rt/1731326661
